|--------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    |
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |     180.4 |     835.8 |     298.4 |      46.2 |       7.6 |    1368.3 |     461.0 |
|                          |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|     180.4 |     835.8 |     298.4 |      46.2 |       7.6 |    1368.3 |     461.0 |
|                          |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |     180.4 |     835.8 |     298.4 |      46.2 |       7.6 |    1368.3 |     461.0 |
|                          |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |     172.0 |     799.0 |     285.1 |      44.3 |       6.6 |    1307.0 |     434.0 |
|                          |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |     160.5 |     771.8 |     274.2 |      42.6 |       6.2 |    1255.3 |     415.0 |
|                          |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |     160.5 |     771.8 |     274.2 |      42.6 |       6.2 |    1255.3 |     415.0 |
|                          |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |     160.5 |     771.8 |     274.2 |      42.6 |       6.2 |    1255.3 |     415.0 |
|                          |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |     160.5 |     771.8 |     274.2 |      42.6 |       6.2 |    1255.3 |     415.0 |
|                          |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |     149.2 |     758.1 |     270.0 |      42.4 |       5.5 |    1225.3 |     356.0 |
|                          |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |     145.9 |     757.7 |     269.6 |      42.4 |       4.6 |    1220.2 |     349.0 |
|                          |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |     145.9 |     757.7 |     269.6 |      42.4 |       4.6 |    1220.2 |     349.0 |
|                          |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |     145.9 |      33.6 |      36.5 |      39.0 |       4.1 |     259.1 |     349.0 |
|                          |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |      33.6 |       3.3 |       7.8 |      19.6 |       2.7 |      67.0 |      70.0 |
|                          |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |      33.6 |       3.3 |       7.8 |      19.6 |       2.7 |      67.0 |      70.0 |
|                          |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |      33.6 |       3.3 |       7.8 |      19.6 |       2.7 |      67.0 |      70.0 |
|                          |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |      33.6 |       3.3 |       7.8 |      19.6 |       2.7 |      67.0 |      70.0 |
|                          |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |      32.1 |       3.3 |       7.7 |      19.6 |       2.5 |      65.2 |      70.0 |
|                          |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |      31.6 |       3.1 |       7.6 |      19.6 |       2.3 |      64.2 |      70.0 |
|                          |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|      28.8 |       3.0 |       7.3 |      19.4 |       2.0 |      60.5 |      66.0 |
|                          |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|      26.0 |       3.0 |       7.1 |      19.4 |       1.6 |      57.1 |      65.0 |
|                          |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |      26.0 |       3.0 |       7.1 |      19.4 |       1.6 |      57.1 |      65.0 |
|                          |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|      24.1 |       2.8 |       5.3 |      19.4 |       1.2 |      52.9 |      54.0 |
|                          |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------| 
