|--------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    |
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |    1761.8 |   11519.0 |    4736.0 |       1.4 |    3961.4 |   21979.5 |    9792.0 |
|                          |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|    1761.8 |   11519.0 |    4736.0 |       1.4 |    3961.4 |   21979.5 |    9792.0 |
|                          |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |    1761.8 |   11519.0 |    4736.0 |       1.4 |    3961.4 |   21979.5 |    9792.0 |
|                          |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |    1656.7 |   11005.7 |    4525.9 |       1.2 |    3751.8 |   20941.4 |    8594.0 |
|                          |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |    1536.4 |   10574.5 |    4341.8 |       1.2 |    3544.2 |   19998.1 |    7176.0 |
|                          |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |    1536.4 |   10574.5 |    4341.8 |       1.2 |    3544.2 |   19998.1 |    7176.0 |
|                          |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |    1536.4 |   10425.2 |    3989.6 |       1.2 |     271.2 |   16223.5 |    7176.0 |
|                          |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |    1536.4 |   10425.2 |    3989.6 |       1.2 |     271.2 |   16223.5 |    7176.0 |
|                          |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |    1375.9 |   10204.7 |    3894.4 |       1.2 |     230.5 |   15706.7 |    4511.0 |
|                          |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |    1325.1 |   10196.7 |    3887.8 |       1.0 |     209.8 |   15620.5 |    3893.0 |
|                          |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |    1325.1 |   10196.7 |    3887.8 |       1.0 |     209.8 |   15620.5 |    3893.0 |
|                          |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |    1325.1 |    1160.7 |     737.3 |       1.0 |     176.0 |    3400.1 |    3893.0 |
|                          |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |     255.0 |     249.4 |     205.6 |       0.5 |      95.0 |     805.5 |     904.0 |
|                          |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |     254.5 |     249.1 |     205.5 |       0.5 |      94.9 |     804.5 |     872.0 |
|                          |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |     254.5 |     248.9 |     205.2 |       0.5 |      94.9 |     804.1 |     870.0 |
|                          |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |     254.5 |     248.9 |     205.2 |       0.5 |      94.9 |     804.1 |     870.0 |
|                          |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |     240.7 |     247.5 |     204.3 |       0.5 |      90.6 |     783.7 |     852.0 |
|                          |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |     234.3 |     244.7 |     200.6 |       0.5 |      88.9 |     769.0 |     830.0 |
|                          |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|     208.0 |     235.1 |     186.2 |       0.5 |      80.3 |     710.2 |     767.0 |
|                          |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|     192.1 |     233.7 |     184.5 |       0.5 |      72.4 |     683.2 |     738.0 |
|                          |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     192.1 |     233.7 |     184.5 |       0.5 |      72.4 |     683.2 |     738.0 |
|                          |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     176.3 |     229.7 |     140.5 |       0.5 |      66.4 |     613.5 |     661.0 |
|                          |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     176.3 |     229.7 |     140.5 |       0.5 |      66.4 |     613.5 |     656.0 |
|                          |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     176.3 |     229.7 |     140.5 |       0.5 |      66.4 |     613.5 |     656.0 |
|                          |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     176.3 |     229.7 |     140.5 |       0.5 |      66.4 |     613.5 |     656.0 |
|                          |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     176.3 |     229.7 |     140.5 |       0.5 |      66.4 |     613.5 |     656.0 |
|                          |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     175.8 |     229.6 |     140.4 |       0.5 |      66.4 |     612.7 |     655.0 |
|                          |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     175.8 |     229.6 |     140.4 |       0.5 |      66.4 |     612.7 |     655.0 |
|                          |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|     175.8 |     229.6 |     140.4 |       0.5 |      66.4 |     612.7 |     655.0 |
|                          |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------| 
