|--------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    |
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |    1489.3 |    8747.6 |    3106.9 |      47.5 |     115.0 |   13506.4 |    4296.0 |
|                          |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|    1489.3 |    8747.6 |    3106.9 |      47.5 |     115.0 |   13506.4 |    4296.0 |
|                          |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |    1489.3 |    8747.6 |    3106.9 |      47.5 |     115.0 |   13506.4 |    4296.0 |
|                          |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |    1403.7 |    8363.0 |    2966.8 |      45.5 |     105.9 |   12884.9 |    3904.0 |
|                          |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |    1308.7 |    8047.7 |    2849.7 |      43.8 |      97.6 |   12347.4 |    3554.0 |
|                          |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |    1308.7 |    8047.7 |    2849.7 |      43.8 |      97.6 |   12347.4 |    3554.0 |
|                          |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |    1308.7 |    8047.7 |    2849.7 |      43.8 |      97.6 |   12347.4 |    3554.0 |
|                          |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |    1308.7 |    8047.7 |    2849.7 |      43.8 |      97.6 |   12347.4 |    3554.0 |
|                          |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |    1187.2 |    7901.9 |    2801.1 |      43.4 |      88.0 |   12021.6 |    2966.0 |
|                          |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |    1152.8 |    7897.2 |    2796.6 |      43.4 |      77.0 |   11967.0 |    2822.0 |
|                          |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |    1152.8 |    7897.2 |    2796.6 |      43.4 |      77.0 |   11967.0 |    2822.0 |
|                          |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |    1152.8 |     614.3 |     476.2 |      40.0 |      69.6 |    2353.0 |    2822.0 |
|                          |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |     235.6 |      95.8 |     118.4 |      20.1 |      40.1 |     509.9 |     586.0 |
|                          |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |     235.0 |      95.6 |     118.3 |      20.1 |      40.1 |     509.1 |     554.0 |
|                          |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |     235.0 |      95.6 |     118.3 |      20.1 |      40.1 |     509.1 |     554.0 |
|                          |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |     235.0 |      95.6 |     118.3 |      20.1 |      40.1 |     509.1 |     554.0 |
|                          |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |     224.6 |      95.0 |     118.0 |      20.1 |      37.7 |     495.5 |     548.0 |
|                          |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |     218.8 |      93.6 |     115.9 |      19.9 |      37.2 |     485.4 |     537.0 |
|                          |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|     196.2 |      89.5 |     107.6 |      19.9 |      34.0 |     447.2 |     499.0 |
|                          |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|     180.6 |      88.9 |     106.4 |      19.9 |      29.6 |     425.5 |     482.0 |
|                          |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     180.6 |      88.9 |     106.4 |      19.9 |      29.6 |     425.5 |     482.0 |
|                          |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     416.0 |
|                          |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|     165.8 |      87.5 |      79.2 |      19.9 |      27.1 |     379.5 |     414.0 |
|                          |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------| 
