|--------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    |
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   26320.0 |
|                          |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   26320.0 |
|                          |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   26320.0 |
|                          |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |   11614.2 |       0.0 |       0.0 |       0.0 |    6939.8 |   18554.0 |   24858.0 |
|                          |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |   10934.8 |       0.0 |       0.0 |       0.0 |    6546.9 |   17481.7 |   23475.0 |
|                          |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |   10934.8 |       0.0 |       0.0 |       0.0 |    6546.9 |   17481.7 |   23475.0 |
|                          |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |   10934.8 |       0.0 |       0.0 |       0.0 |    2255.1 |   13189.9 |   23475.0 |
|                          |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |   10934.8 |       0.0 |       0.0 |       0.0 |    2255.1 |   13189.9 |   23475.0 |
|                          |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |   10934.8 |       0.0 |       0.0 |       0.0 |    2255.1 |   13189.9 |   23475.0 |
|                          |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |    8514.3 |       0.0 |       0.0 |       0.0 |    1713.6 |   10227.9 |   17212.0 |
|                          |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |    8514.3 |       0.0 |       0.0 |       0.0 |    1713.6 |   10227.9 |   17212.0 |
|                          |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |    7270.0 |       0.0 |       0.0 |       0.0 |    1233.5 |    8503.5 |   14513.0 |
|                          |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |    1299.6 |       0.0 |       0.0 |       0.0 |     747.1 |    2046.7 |    2781.0 |
|                          |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |    1292.4 |       0.0 |       0.0 |       0.0 |     745.6 |    2038.0 |    2745.0 |
|                          |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |    1292.0 |       0.0 |       0.0 |       0.0 |     744.4 |    2036.4 |    2739.0 |
|                          |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |    1292.0 |       0.0 |       0.0 |       0.0 |     744.4 |    2036.4 |    2739.0 |
|                          |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |    1230.8 |       0.0 |       0.0 |       0.0 |     710.5 |    1941.3 |    2643.0 |
|                          |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |    1189.2 |       0.0 |       0.0 |       0.0 |     686.4 |    1875.6 |    2356.0 |
|                          |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|    1044.2 |       0.0 |       0.0 |       0.0 |     605.8 |    1650.0 |    1944.0 |
|                          |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|     917.4 |       0.0 |       0.0 |       0.0 |     537.1 |    1454.5 |    1695.0 |
|                          |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     917.4 |       0.0 |       0.0 |       0.0 |     537.1 |    1454.5 |    1693.0 |
|                          |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     835.0 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.8 |    1341.0 |
|                          |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1307.0 |
|                          |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1307.0 |
|                          |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1307.0 |
|                          |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1307.0 |
|                          |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     832.1 |       0.0 |       0.0 |       0.0 |     496.2 |    1328.3 |    1304.0 |
|                          |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     832.1 |       0.0 |       0.0 |       0.0 |     496.2 |    1328.3 |    1304.0 |
|                          |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|     832.1 |       0.0 |       0.0 |       0.0 |     496.2 |    1328.3 |    1304.0 |
|                          |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------| 
