|--------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    |
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   20268.0 |
|                          |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   20268.0 |
|                          |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   20268.0 |
|                          |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |    9380.5 |       0.0 |       0.0 |       1.2 |     981.8 |   10363.5 |   19280.0 |
|                          |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   18379.0 |
|                          |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   18379.0 |
|                          |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   18379.0 |
|                          |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   18379.0 |
|                          |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   18379.0 |
|                          |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |    7167.7 |       0.0 |       0.0 |       1.2 |     712.7 |    7881.6 |   14356.0 |
|                          |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |    7167.7 |       0.0 |       0.0 |       1.2 |     712.7 |    7881.6 |   14356.0 |
|                          |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |    6096.7 |       0.0 |       0.0 |       0.9 |     540.6 |    6638.2 |   12224.0 |
|                          |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |    1154.6 |       0.0 |       0.0 |       0.6 |     365.5 |    1520.7 |    2103.0 |
|                          |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |    1147.3 |       0.0 |       0.0 |       0.6 |     364.0 |    1511.9 |    2067.0 |
|                          |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |    1147.3 |       0.0 |       0.0 |       0.6 |     364.0 |    1511.9 |    2067.0 |
|                          |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |    1147.3 |       0.0 |       0.0 |       0.6 |     364.0 |    1511.9 |    2067.0 |
|                          |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |    1094.7 |       0.0 |       0.0 |       0.6 |     348.6 |    1443.9 |    1999.0 |
|                          |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |    1054.4 |       0.0 |       0.0 |       0.6 |     340.0 |    1395.0 |    1785.0 |
|                          |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|     935.0 |       0.0 |       0.0 |       0.6 |     303.8 |    1239.4 |    1477.0 |
|                          |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|     824.0 |       0.0 |       0.0 |       0.3 |     270.5 |    1094.8 |    1290.0 |
|                          |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     824.0 |       0.0 |       0.0 |       0.3 |     270.5 |    1094.8 |    1288.0 |
|                          |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     746.8 |       0.0 |       0.0 |       0.3 |     250.6 |     997.7 |    1014.0 |
|                          |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     745.9 |       0.0 |       0.0 |       0.3 |     250.4 |     996.6 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     745.9 |       0.0 |       0.0 |       0.3 |     250.4 |     996.6 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|     745.9 |       0.0 |       0.0 |       0.3 |     250.4 |     996.6 |     993.0 |
|                          |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------| 
