|--------------------------------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                | Signal    |  CCDIS    | \cohpim   |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |      86.2 |    1761.8 |     191.2 |   11202.1 |    4736.0 |       1.4 |    3961.4 |   21940.0 |    9792.0 |  -12148.0 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|      86.2 |    1761.8 |     191.2 |   11202.1 |    4736.0 |       1.4 |    3961.4 |   21940.0 |    9792.0 |  -12148.0 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |      86.2 |    1761.8 |     191.2 |   11202.1 |    4736.0 |       1.4 |    3961.4 |   21940.0 |    9792.0 |  -12148.0 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   4) Focus Positive      |      86.2 |    1761.8 |     191.2 |   11202.1 |    4736.0 |       1.4 |    3961.4 |   21940.0 |    8798.0 |  -13142.0 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -X        |      82.6 |    1656.7 |     180.7 |   10744.5 |    4525.9 |       1.2 |    3751.8 |   20943.5 |    7714.0 |  -13229.5 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Y        |      79.5 |    1536.4 |     172.4 |   10368.4 |    4341.8 |       1.2 |    3544.2 |   20044.0 |    6454.0 |  -13590.0 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   7) Fid. Vol. -Z (OFF)  |      79.5 |    1536.4 |     172.4 |   10368.4 |    4341.8 |       1.2 |    3544.2 |   20044.0 |    6454.0 |  -13590.0 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   8) At Least 1 Mu       |      75.2 |    1536.4 |     158.9 |   10219.2 |    3989.6 |       1.2 |     271.2 |   16251.7 |    6454.0 |   -9797.7 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|   9) ncand=2,3,4         |      75.2 |    1536.4 |     158.9 |   10219.2 |    3989.6 |       1.2 |     271.2 |   16251.7 |    6454.0 |   -9797.7 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  10) tnchgd=2            |      74.5 |    1375.9 |     155.7 |    9996.5 |    3894.4 |       1.2 |     230.5 |   15728.7 |    4049.0 |  -11679.7 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  11) +/- Tracks (V0)     |      74.5 |    1325.1 |     155.6 |    9989.7 |    3887.8 |       1.0 |     209.8 |   15643.6 |    3472.0 |  -12171.6 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  12) Tube/Veto Cut       |      74.5 |    1325.1 |     155.6 |    9989.7 |    3887.8 |       1.0 |     209.8 |   15643.6 |    3472.0 |  -12171.6 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  13) 2 Muons (1mux)      |      45.9 |    1325.1 |      12.9 |     956.3 |     737.3 |       1.0 |     176.0 |    3254.6 |    3472.0 |     217.4 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  14) PmuAsym<0.0         |      23.2 |     255.0 |      10.3 |     196.5 |     205.6 |       0.5 |      95.0 |     786.2 |     821.0 |      34.8 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  15) Theta$<$2.62 rad    |      23.2 |     254.5 |      10.3 |     196.4 |     205.5 |       0.5 |      94.9 |     785.3 |     792.0 |       6.7 |
|                          |           |           |           |           |           |           |           |           |           |           | 
|  16) Pt+wrt- $>$0.05     |      23.2 |     254.5 |      10.3 |     196.1 |     205.2 |       0.5 |      94.9 |     784.7 |     791.0 |       6.3 |
|                          |           |           |           |           |           |           |           |           |           |           | 
