                                Raw        AOT        norm0       Final    |    Ratio     |     eff.   
---------------------------------------------------------------------------|--------------|--------------
  1) Raw Events                  41.0        37.4         0.8         0.8  |   (100.0%)   |   (100.0%) 
                                                                           |              |
  2) OBGfid,Trig+CohGenTh        41.0        37.4         0.8         0.8  |   (100.0%)   |   (100.0%) 
                                                                           |              |
  3) Pfermi \& W2                41.0        37.4         0.8         0.8  |   (100.0%)   |   (100.0%) 
                                                                           |              |
  4) Fid. Vol. -X                40.0        36.4         0.8         0.8  |   ( 97.3%)   |   ( 97.3%) 
                                                                           |              |
  5) Fid. Vol. -Y                39.0        35.4         0.8         0.8  |   ( 97.3%)   |   ( 94.7%) 
                                                                           |              |
  6) Fid. Vol. -Z (OFF)          39.0        35.4         0.8         0.8  |   (100.0%)   |   ( 94.7%) 
                                                                           |              |
  7) At Least 1 Mu               37.0        33.5         0.7         0.7  |   ( 94.5%)   |   ( 89.5%) 
                                                                           |              |
  8) ncand=2,3,4                 37.0        33.5         0.7         0.7  |   (100.0%)   |   ( 89.5%) 
                                                                           |              |
  9) tnchgd=2                    37.0        33.5         0.7         0.7  |   (100.0%)   |   ( 89.5%) 
                                                                           |              |
 10) +/- Tracks (V0)             35.0        31.5         0.7         0.7  |   ( 94.0%)   |   ( 84.1%) 
                                                                           |              |
 11) Tube/Veto Cut               35.0        31.5         0.7         0.7  |   (100.0%)   |   ( 84.1%) 
                                                                           |              |
 12) 2 Muons (1mux)              24.0        21.4         0.5         0.5  |   ( 68.1%)   |   ( 57.3%) 
                                                                           |              |
 13) PmuAsym<0.0                  8.0         7.1         0.2         0.2  |   ( 33.1%)   |   ( 18.9%) 
                                                                           |              |
 14) Theta$<$2.62 rad             8.0         7.1         0.2         0.2  |   (100.0%)   |   ( 18.9%) 
                                                                           |              |
 15) Pt+wrt- $>$0.05              8.0         7.1         0.2         0.2  |   (100.0%)   |   ( 18.9%) 
                                                                           |              |
 16) Mee $>$ 2.0  (OFF)           8.0         7.1         0.2         0.2  |   (100.0%)   |   ( 18.9%) 
                                                                           |              |
 17) Upstream Hanger cut          8.0         7.1         0.2         0.2  |   (100.0%)   |   ( 18.9%) 
                                                                           |              |
 18) nsecond$<$4                  8.0         7.1         0.2         0.2  |   (100.0%)   |   ( 18.9%) 
                                                                           |              |
 19) Fid. Vol. Hanger cut         8.0         7.1         0.2         0.2  |   (100.0%)   |   ( 18.9%) 
                                                                           |              |
 20) No Hangers fromPVert         7.0         6.1         0.1         0.1  |   ( 86.3%)   |   ( 16.4%) 
                                                                           |              |
 21) Pz$>$0 for tracks            7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 22) Thprimord$<$0.4              7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 23) Nunh*fracunh$<$200           7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 24) Emumu$>$2GeV                 7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 25) P+,P-$>$0.5                  7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 26) P+,P-$>$1.0 (2.5mux)         7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 27) Emumu$>$5GeV  (8mux)         7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 28) Phi12$>$90deg  (OFF)         7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 29) Pmumu$>$10GeV  (OFF)         7.0         6.1         0.1         0.1  |   (100.0%)   |   ( 16.4%) 
                                                                           |              |
 30) No cut, not set              0.0         0.0         0.0         0.0  |   (  0.0%)   |   (  0.0%) 
                                                                           |              |
=========================================================================================================
 
