|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |   13492.1 |       0.0 |       0.0 |       1.2 |    7460.0 |   20953.3 |   29142.0 |    8188.7 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|   13492.1 |       0.0 |       0.0 |       1.2 |    7460.0 |   20953.3 |   29142.0 |    8188.7 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |   13492.1 |       0.0 |       0.0 |       1.2 |    7460.0 |   20953.3 |   29142.0 |    8188.7 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |   13492.1 |       0.0 |       0.0 |       1.2 |    7460.0 |   20953.3 |   25805.0 |    4851.7 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |   12751.9 |       0.0 |       0.0 |       1.2 |    7012.7 |   19765.8 |   24382.0 |    4616.2 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |   12017.5 |       0.0 |       0.0 |       1.2 |    6614.9 |   18633.6 |   23053.0 |    4419.4 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |   12017.5 |       0.0 |       0.0 |       1.2 |    6614.9 |   18633.6 |   23053.0 |    4419.4 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |   12017.5 |       0.0 |       0.0 |       1.2 |    2322.9 |   14341.6 |   23053.0 |    8711.4 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |   12017.5 |       0.0 |       0.0 |       1.2 |    2322.9 |   14341.6 |   23053.0 |    8711.4 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |   12017.5 |       0.0 |       0.0 |       1.2 |    2322.9 |   14341.6 |   23053.0 |    8711.4 |
|                          |           |           |           |           |           |           |           |           | 
