|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |    1199.1 |       0.0 |       0.0 |       1.2 |      78.1 |    1278.4 |    2822.0 |    1543.6 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|    1199.1 |       0.0 |       0.0 |       1.2 |      78.1 |    1278.4 |    2822.0 |    1543.6 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |    1199.1 |       0.0 |       0.0 |       1.2 |      78.1 |    1278.4 |    2822.0 |    1543.6 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |    1199.1 |       0.0 |       0.0 |       1.2 |      78.1 |    1278.4 |    2503.0 |    1224.6 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |    1137.7 |       0.0 |       0.0 |       1.2 |      72.9 |    1211.8 |    2392.0 |    1180.2 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |    1082.7 |       0.0 |       0.0 |       1.2 |      68.1 |    1152.0 |    2277.0 |    1125.0 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |    1082.7 |       0.0 |       0.0 |       1.2 |      68.1 |    1152.0 |    2277.0 |    1125.0 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |    1082.7 |       0.0 |       0.0 |       1.2 |      68.1 |    1152.0 |    2277.0 |    1125.0 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |    1082.7 |       0.0 |       0.0 |       1.2 |      68.1 |    1152.0 |    2277.0 |    1125.0 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |    1082.7 |       0.0 |       0.0 |       1.2 |      68.1 |    1152.0 |    2277.0 |    1125.0 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |     886.2 |       0.0 |       0.0 |       1.2 |      51.4 |     938.8 |    1822.0 |     883.2 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |     886.2 |       0.0 |       0.0 |       1.2 |      51.4 |     938.8 |    1822.0 |     883.2 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |     734.7 |       0.0 |       0.0 |       0.9 |      40.5 |     776.1 |    1550.0 |     773.9 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |     163.4 |       0.0 |       0.0 |       0.6 |      31.7 |     195.7 |     258.0 |      62.3 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |     163.4 |       0.0 |       0.0 |       0.6 |      31.7 |     195.7 |     258.0 |      62.3 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |     163.4 |       0.0 |       0.0 |       0.6 |      31.7 |     195.7 |     258.0 |      62.3 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |     163.4 |       0.0 |       0.0 |       0.6 |      31.7 |     195.7 |     258.0 |      62.3 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |     155.6 |       0.0 |       0.0 |       0.6 |      30.5 |     186.7 |     247.0 |      60.3 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|     148.9 |       0.0 |       0.0 |       0.6 |      29.9 |     179.4 |     222.0 |      42.6 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|     133.4 |       0.0 |       0.0 |       0.6 |      26.9 |     160.9 |     183.0 |      22.1 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     116.8 |       0.0 |       0.0 |       0.3 |      23.8 |     140.9 |     156.0 |      15.1 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     116.8 |       0.0 |       0.0 |       0.3 |      23.8 |     140.9 |     156.0 |      15.1 |
|                          |           |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     129.0 |       0.4 |
|                          |           |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|  30) No cut, not set     |     105.6 |       0.0 |       0.0 |       0.3 |      22.7 |     128.6 |     127.0 |      -1.6 |
|                          |           |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------------------| 
