|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   26320.0 |    6645.2 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   26320.0 |    6645.2 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   26320.0 |    6645.2 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |   12293.0 |       0.0 |       0.0 |       0.0 |    7381.8 |   19674.8 |   23302.0 |    3627.2 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |   11614.2 |       0.0 |       0.0 |       0.0 |    6939.8 |   18554.0 |   21990.0 |    3436.0 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |   10934.8 |       0.0 |       0.0 |       0.0 |    6546.9 |   17481.7 |   20776.0 |    3294.3 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |   10934.8 |       0.0 |       0.0 |       0.0 |    6546.9 |   17481.7 |   20776.0 |    3294.3 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |   10934.8 |       0.0 |       0.0 |       0.0 |    2255.1 |   13189.9 |   20776.0 |    7586.1 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |   10934.8 |       0.0 |       0.0 |       0.0 |    2255.1 |   13189.9 |   20776.0 |    7586.1 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |   10934.8 |       0.0 |       0.0 |       0.0 |    2255.1 |   13189.9 |   20776.0 |    7586.1 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |    8514.3 |       0.0 |       0.0 |       0.0 |    1713.6 |   10227.9 |   15213.0 |    4985.1 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |    8514.3 |       0.0 |       0.0 |       0.0 |    1713.6 |   10227.9 |   15213.0 |    4985.1 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |    7270.0 |       0.0 |       0.0 |       0.0 |    1233.5 |    8503.5 |   12834.0 |    4330.5 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |    1299.6 |       0.0 |       0.0 |       0.0 |     747.1 |    2046.7 |    2445.0 |     398.3 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |    1292.4 |       0.0 |       0.0 |       0.0 |     745.6 |    2038.0 |    2415.0 |     377.0 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |    1292.0 |       0.0 |       0.0 |       0.0 |     744.4 |    2036.4 |    2410.0 |     373.6 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |    1292.0 |       0.0 |       0.0 |       0.0 |     744.4 |    2036.4 |    2410.0 |     373.6 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |    1230.8 |       0.0 |       0.0 |       0.0 |     710.5 |    1941.3 |    2327.0 |     385.7 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|    1189.2 |       0.0 |       0.0 |       0.0 |     686.4 |    1875.6 |    2087.0 |     211.4 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|    1044.2 |       0.0 |       0.0 |       0.0 |     605.8 |    1650.0 |    1720.0 |      70.0 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     917.4 |       0.0 |       0.0 |       0.0 |     537.1 |    1454.5 |    1498.0 |      43.5 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     917.4 |       0.0 |       0.0 |       0.0 |     537.1 |    1454.5 |    1496.0 |      41.5 |
|                          |           |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     835.0 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.8 |    1193.0 |    -138.8 |
|                          |           |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1162.0 |    -169.4 |
|                          |           |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1162.0 |    -169.4 |
|                          |           |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1162.0 |    -169.4 |
|                          |           |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     834.6 |       0.0 |       0.0 |       0.0 |     496.8 |    1331.4 |    1162.0 |    -169.4 |
|                          |           |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     832.1 |       0.0 |       0.0 |       0.0 |     496.2 |    1328.3 |    1159.0 |    -169.3 |
|                          |           |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|     832.1 |       0.0 |       0.0 |       0.0 |     496.2 |    1328.3 |    1159.0 |    -169.3 |
|                          |           |           |           |           |           |           |           |           | 
|  30) No cut, not set     |     832.1 |       0.0 |       0.0 |       0.0 |     496.2 |    1328.3 |    1159.0 |    -169.3 |
|                          |           |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------------------| 
