|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   20268.0 |    9300.6 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   20268.0 |    9300.6 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   20268.0 |    9300.6 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |    9917.7 |       0.0 |       0.0 |       1.2 |    1048.5 |   10967.4 |   17978.0 |    7010.6 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |    9380.5 |       0.0 |       0.0 |       1.2 |     981.8 |   10363.5 |   17088.0 |    6724.5 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   16287.0 |    6516.6 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   16287.0 |    6516.6 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   16287.0 |    6516.6 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   16287.0 |    6516.6 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |    8851.9 |       0.0 |       0.0 |       1.2 |     917.3 |    9770.4 |   16287.0 |    6516.6 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |    7167.7 |       0.0 |       0.0 |       1.2 |     712.7 |    7881.6 |   12712.0 |    4830.4 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |    7167.7 |       0.0 |       0.0 |       1.2 |     712.7 |    7881.6 |   12712.0 |    4830.4 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |    6096.7 |       0.0 |       0.0 |       0.9 |     540.6 |    6638.2 |   10842.0 |    4203.8 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |    1154.6 |       0.0 |       0.0 |       0.6 |     365.5 |    1520.7 |    1846.0 |     325.3 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |    1147.3 |       0.0 |       0.0 |       0.6 |     364.0 |    1511.9 |    1816.0 |     304.1 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |    1147.3 |       0.0 |       0.0 |       0.6 |     364.0 |    1511.9 |    1816.0 |     304.1 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |    1147.3 |       0.0 |       0.0 |       0.6 |     364.0 |    1511.9 |    1816.0 |     304.1 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |    1094.7 |       0.0 |       0.0 |       0.6 |     348.6 |    1443.9 |    1756.0 |     312.1 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|    1054.4 |       0.0 |       0.0 |       0.6 |     340.0 |    1395.0 |    1574.0 |     179.0 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|     935.0 |       0.0 |       0.0 |       0.6 |     303.8 |    1239.4 |    1296.0 |      56.6 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |     824.0 |       0.0 |       0.0 |       0.3 |     270.5 |    1094.8 |    1132.0 |      37.2 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |     824.0 |       0.0 |       0.0 |       0.3 |     270.5 |    1094.8 |    1130.0 |      35.2 |
|                          |           |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |     746.8 |       0.0 |       0.0 |       0.3 |     250.6 |     997.7 |     895.0 |    -102.7 |
|                          |           |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     876.0 |    -121.3 |
|                          |           |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     876.0 |    -121.3 |
|                          |           |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     876.0 |    -121.3 |
|                          |           |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|     746.4 |       0.0 |       0.0 |       0.3 |     250.6 |     997.3 |     876.0 |    -121.3 |
|                          |           |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|     745.9 |       0.0 |       0.0 |       0.3 |     250.4 |     996.6 |     876.0 |    -120.6 |
|                          |           |           |           |           |           |           |           |           | 
