|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |    3968.7 |    3968.7 |   10253.0 |    6284.3 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |    3968.7 |    3968.7 |   10253.0 |    6284.3 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |    3968.7 |    3968.7 |   10253.0 |    6284.3 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |    3968.7 |    3968.7 |    9217.0 |    5248.3 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |    3758.5 |    3758.5 |    8110.0 |    4351.5 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |    3550.5 |    3550.5 |    6832.0 |    3281.5 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |    3550.5 |    3550.5 |    6832.0 |    3281.5 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |     277.3 |     277.3 |    6832.0 |    6554.7 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |     277.3 |     277.3 |    6832.0 |    6554.7 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |     277.3 |     277.3 |    6832.0 |    6554.7 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |       0.0 |       0.0 |       0.0 |       0.0 |     240.0 |     240.0 |    4409.0 |    4169.0 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |       0.0 |       0.0 |       0.0 |       0.0 |     240.0 |     240.0 |    4409.0 |    4169.0 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |       0.0 |       0.0 |       0.0 |       0.0 |      36.9 |      36.9 |       0.0 |     -36.9 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |       0.0 |       0.0 |       0.0 |       0.0 |      15.4 |      15.4 |       0.0 |     -15.4 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |       0.0 |       0.0 |       0.0 |       0.0 |      15.4 |      15.4 |       0.0 |     -15.4 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |      15.3 |      15.3 |       0.0 |     -15.3 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |       0.0 |       0.0 |       0.0 |       0.0 |      15.3 |      15.3 |       0.0 |     -15.3 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |       0.0 |       0.0 |       0.0 |       0.0 |      14.8 |      14.8 |       0.0 |     -14.8 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|       0.0 |       0.0 |       0.0 |       0.0 |      14.7 |      14.7 |       0.0 |     -14.7 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|       0.0 |       0.0 |       0.0 |       0.0 |      13.7 |      13.7 |       0.0 |     -13.7 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |       0.0 |       0.0 |       0.0 |       0.0 |      13.5 |      13.5 |       0.0 |     -13.5 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |       0.0 |       0.0 |       0.0 |       0.0 |      13.5 |      13.5 |       0.0 |     -13.5 |
|                          |           |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |       0.0 |       0.0 |       0.0 |       0.0 |      12.8 |      12.8 |       0.0 |     -12.8 |
|                          |           |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |       0.0 |       0.0 |       0.0 |       0.0 |      12.8 |      12.8 |       0.0 |     -12.8 |
|                          |           |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |       0.0 |       0.0 |       0.0 |       0.0 |      12.8 |      12.8 |       0.0 |     -12.8 |
|                          |           |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|       0.0 |       0.0 |       0.0 |       0.0 |      11.8 |      11.8 |       0.0 |     -11.8 |
|                          |           |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|       0.0 |       0.0 |       0.0 |       0.0 |       8.2 |       8.2 |       0.0 |      -8.2 |
|                          |           |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|       0.0 |       0.0 |       0.0 |       0.0 |       7.2 |       7.2 |       0.0 |      -7.2 |
|                          |           |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|       0.0 |       0.0 |       0.0 |       0.0 |       7.2 |       7.2 |       0.0 |      -7.2 |
|                          |           |           |           |           |           |           |           |           | 
|  30) No cut, not set     |       0.0 |       0.0 |       0.0 |       0.0 |       7.2 |       7.2 |       0.0 |      -7.2 |
|                          |           |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------------------| 
