|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |       7.6 |       7.6 |     461.0 |     453.4 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |       7.6 |       7.6 |     461.0 |     453.4 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |       7.6 |       7.6 |     461.0 |     453.4 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |       7.6 |       7.6 |     419.0 |     411.4 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |       6.6 |       6.6 |     396.0 |     389.4 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |       6.2 |       6.2 |     378.0 |     371.8 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |       6.2 |       6.2 |     378.0 |     371.8 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |       6.2 |       6.2 |     378.0 |     371.8 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |       6.2 |       6.2 |     378.0 |     371.8 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |       6.2 |       6.2 |     378.0 |     371.8 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |       0.0 |       0.0 |       0.0 |       0.0 |       5.2 |       5.2 |     359.0 |     353.8 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |       0.0 |       0.0 |       0.0 |       0.0 |       5.2 |       5.2 |     359.0 |     353.8 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |       0.0 |       0.0 |       0.0 |       0.0 |       0.7 |       0.7 |       0.0 |      -0.7 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  26) P+,P-$>$1.0 (2.5mux)|       0.0 |       0.0 |       0.0 |       0.0 |       0.2 |       0.2 |       0.0 |      -0.2 |
|                          |           |           |           |           |           |           |           |           | 
|  27) Emumu$>$5GeV  (8mux)|       0.0 |       0.0 |       0.0 |       0.0 |       0.1 |       0.1 |       0.0 |      -0.1 |
|                          |           |           |           |           |           |           |           |           | 
|  28) Phi12$>$90deg  (OFF)|       0.0 |       0.0 |       0.0 |       0.0 |       0.1 |       0.1 |       0.0 |      -0.1 |
|                          |           |           |           |           |           |           |           |           | 
|  29) Pmumu$>$10GeV  (OFF)|       0.0 |       0.0 |       0.0 |       0.0 |       0.1 |       0.1 |       0.0 |      -0.1 |
|                          |           |           |           |           |           |           |           |           | 
|  30) No cut, not set     |       0.0 |       0.0 |       0.0 |       0.0 |       0.1 |       0.1 |       0.0 |      -0.1 |
|                          |           |           |           |           |           |           |           |           | 
|--------------------------------------------------------------------------------------------------------------------------| 
