|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |    3961.4 |    3961.4 |    9792.0 |    5830.6 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |    3961.4 |    3961.4 |    9792.0 |    5830.6 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |    3961.4 |    3961.4 |    9792.0 |    5830.6 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |    3961.4 |    3961.4 |    8798.0 |    4836.6 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |    3751.8 |    3751.8 |    7714.0 |    3962.2 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |    3544.2 |    3544.2 |    6454.0 |    2909.8 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |    3544.2 |    3544.2 |    6454.0 |    2909.8 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |     271.2 |     271.2 |    6454.0 |    6182.8 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |     271.2 |     271.2 |    6454.0 |    6182.8 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |     271.2 |     271.2 |    6454.0 |    6182.8 |
|                          |           |           |           |           |           |           |           |           | 
