|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |     115.0 |     115.0 |    4296.0 |    4181.0 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |     115.0 |     115.0 |    4296.0 |    4181.0 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |     115.0 |     115.0 |    4296.0 |    4181.0 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |     115.0 |     115.0 |    3817.0 |    3702.0 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |     105.9 |     105.9 |    3476.0 |    3370.1 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |      97.6 |      97.6 |    3171.0 |    3073.4 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |      97.6 |      97.6 |    3171.0 |    3073.4 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |      97.6 |      97.6 |    3171.0 |    3073.4 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |      97.6 |      97.6 |    3171.0 |    3073.4 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |      97.6 |      97.6 |    3171.0 |    3073.4 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |       0.0 |       0.0 |       0.0 |       0.0 |      84.5 |      84.5 |    2868.0 |    2783.5 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |       0.0 |       0.0 |       0.0 |       0.0 |      84.5 |      84.5 |    2868.0 |    2783.5 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |       0.0 |       0.0 |       0.0 |       0.0 |       8.6 |       8.6 |       0.0 |      -8.6 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |       0.0 |       0.0 |       0.0 |       0.0 |       4.0 |       4.0 |       0.0 |      -4.0 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |       0.0 |       0.0 |       0.0 |       0.0 |       4.0 |       4.0 |       0.0 |      -4.0 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |       4.0 |       4.0 |       0.0 |      -4.0 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |       0.0 |       0.0 |       0.0 |       0.0 |       4.0 |       4.0 |       0.0 |      -4.0 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |       0.0 |       0.0 |       0.0 |       0.0 |       4.0 |       4.0 |       0.0 |      -4.0 |
|                          |           |           |           |           |           |           |           |           | 
