|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |      78.1 |      78.1 |    2822.0 |    2743.9 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |      78.1 |      78.1 |    2822.0 |    2743.9 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |      78.1 |      78.1 |    2822.0 |    2743.9 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |      78.1 |      78.1 |    2503.0 |    2424.9 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |      72.9 |      72.9 |    2392.0 |    2319.1 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |      68.1 |      68.1 |    2277.0 |    2208.9 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |      68.1 |      68.1 |    2277.0 |    2208.9 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |      68.1 |      68.1 |    2277.0 |    2208.9 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |      68.1 |      68.1 |    2277.0 |    2208.9 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |      68.1 |      68.1 |    2277.0 |    2208.9 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |       0.0 |       0.0 |       0.0 |       0.0 |      51.4 |      51.4 |    1822.0 |    1770.6 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |       0.0 |       0.0 |       0.0 |       0.0 |      51.4 |      51.4 |    1822.0 |    1770.6 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |       0.0 |       0.0 |       0.0 |       0.0 |       1.7 |       1.7 |       0.0 |      -1.7 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |       0.0 |       0.0 |       0.0 |       0.0 |       1.1 |       1.1 |       0.0 |      -1.1 |
|                          |           |           |           |           |           |           |           |           | 
