|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |    7381.8 |    7381.8 |   26320.0 |   18938.2 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |    7381.8 |    7381.8 |   26320.0 |   18938.2 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |    7381.8 |    7381.8 |   26320.0 |   18938.2 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |    7381.8 |    7381.8 |   23302.0 |   15920.2 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |    6939.8 |    6939.8 |   21990.0 |   15050.2 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |    6546.9 |    6546.9 |   20776.0 |   14229.1 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |    6546.9 |    6546.9 |   20776.0 |   14229.1 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |    2255.1 |    2255.1 |   20776.0 |   18520.9 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |    2255.1 |    2255.1 |   20776.0 |   18520.9 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |    2255.1 |    2255.1 |   20776.0 |   18520.9 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |       0.0 |       0.0 |       0.0 |       0.0 |    1713.6 |    1713.6 |   15213.0 |   13499.4 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |       0.0 |       0.0 |       0.0 |       0.0 |    1713.6 |    1713.6 |   15213.0 |   13499.4 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |       0.0 |       0.0 |       0.0 |       0.0 |      62.6 |      62.6 |       0.0 |     -62.6 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |       0.0 |       0.0 |       0.0 |       0.0 |      34.7 |      34.7 |       0.0 |     -34.7 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |       0.0 |       0.0 |       0.0 |       0.0 |      34.7 |      34.7 |       0.0 |     -34.7 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |      34.6 |      34.6 |       0.0 |     -34.6 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |       0.0 |       0.0 |       0.0 |       0.0 |      34.6 |      34.6 |       0.0 |     -34.6 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |       0.0 |       0.0 |       0.0 |       0.0 |      32.6 |      32.6 |       0.0 |     -32.6 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|       0.0 |       0.0 |       0.0 |       0.0 |      31.6 |      31.6 |       0.0 |     -31.6 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|       0.0 |       0.0 |       0.0 |       0.0 |      27.8 |      27.8 |       0.0 |     -27.8 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |       0.0 |       0.0 |       0.0 |       0.0 |      24.9 |      24.9 |       0.0 |     -24.9 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |       0.0 |       0.0 |       0.0 |       0.0 |      24.8 |      24.8 |       0.0 |     -24.8 |
|                          |           |           |           |           |           |           |           |           | 
