|--------------------------------------------------------------------------------------------------------------------------| 
|  Cut Name                |  CCDIS    |  CohPi+   | CohRho+   | CohJPsi   |   Other   |   Total   |   Data    | Data-Total|
|--------------------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------| 
|   1) Raw Events          |       0.0 |       0.0 |       0.0 |       0.0 |    1048.5 |    1048.5 |   20268.0 |   19219.5 |
|                          |           |           |           |           |           |           |           |           | 
|   2) OBGfid,Trig+CohGenTh|       0.0 |       0.0 |       0.0 |       0.0 |    1048.5 |    1048.5 |   20268.0 |   19219.5 |
|                          |           |           |           |           |           |           |           |           | 
|   3) Pfermi \& W2        |       0.0 |       0.0 |       0.0 |       0.0 |    1048.5 |    1048.5 |   20268.0 |   19219.5 |
|                          |           |           |           |           |           |           |           |           | 
|   4) Fid. Vol. -X        |       0.0 |       0.0 |       0.0 |       0.0 |    1048.5 |    1048.5 |   17978.0 |   16929.5 |
|                          |           |           |           |           |           |           |           |           | 
|   5) Fid. Vol. -Y        |       0.0 |       0.0 |       0.0 |       0.0 |     981.8 |     981.8 |   17088.0 |   16106.2 |
|                          |           |           |           |           |           |           |           |           | 
|   6) Fid. Vol. -Z (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |     917.3 |     917.3 |   16287.0 |   15369.7 |
|                          |           |           |           |           |           |           |           |           | 
|   7) At Least 1 Mu       |       0.0 |       0.0 |       0.0 |       0.0 |     917.3 |     917.3 |   16287.0 |   15369.7 |
|                          |           |           |           |           |           |           |           |           | 
|   8) ncand=2,3,4         |       0.0 |       0.0 |       0.0 |       0.0 |     917.3 |     917.3 |   16287.0 |   15369.7 |
|                          |           |           |           |           |           |           |           |           | 
|   9) tnchgd=2            |       0.0 |       0.0 |       0.0 |       0.0 |     917.3 |     917.3 |   16287.0 |   15369.7 |
|                          |           |           |           |           |           |           |           |           | 
|  10) +/- Tracks (V0)     |       0.0 |       0.0 |       0.0 |       0.0 |     917.3 |     917.3 |   16287.0 |   15369.7 |
|                          |           |           |           |           |           |           |           |           | 
|  11) Tube/Veto Cut       |       0.0 |       0.0 |       0.0 |       0.0 |     712.7 |     712.7 |   12712.0 |   11999.3 |
|                          |           |           |           |           |           |           |           |           | 
|  12) 2 Muons (1mux)      |       0.0 |       0.0 |       0.0 |       0.0 |     712.7 |     712.7 |   12712.0 |   11999.3 |
|                          |           |           |           |           |           |           |           |           | 
|  13) PmuAsym<0.0         |       0.0 |       0.0 |       0.0 |       0.0 |      26.7 |      26.7 |       0.0 |     -26.7 |
|                          |           |           |           |           |           |           |           |           | 
|  14) Theta$<$2.62 rad    |       0.0 |       0.0 |       0.0 |       0.0 |      15.4 |      15.4 |       0.0 |     -15.4 |
|                          |           |           |           |           |           |           |           |           | 
|  15) Pt+wrt- $>$0.05     |       0.0 |       0.0 |       0.0 |       0.0 |      15.4 |      15.4 |       0.0 |     -15.4 |
|                          |           |           |           |           |           |           |           |           | 
|  16) Mee $>$ 2.0  (OFF)  |       0.0 |       0.0 |       0.0 |       0.0 |      15.4 |      15.4 |       0.0 |     -15.4 |
|                          |           |           |           |           |           |           |           |           | 
|  17) Upstream Hanger cut |       0.0 |       0.0 |       0.0 |       0.0 |      15.4 |      15.4 |       0.0 |     -15.4 |
|                          |           |           |           |           |           |           |           |           | 
|  18) nsecond$<$4         |       0.0 |       0.0 |       0.0 |       0.0 |      14.6 |      14.6 |       0.0 |     -14.6 |
|                          |           |           |           |           |           |           |           |           | 
|  19) Fid. Vol. Hanger cut|       0.0 |       0.0 |       0.0 |       0.0 |      14.1 |      14.1 |       0.0 |     -14.1 |
|                          |           |           |           |           |           |           |           |           | 
|  20) No Hangers fromPVert|       0.0 |       0.0 |       0.0 |       0.0 |      12.5 |      12.5 |       0.0 |     -12.5 |
|                          |           |           |           |           |           |           |           |           | 
|  21) Pz$>$0 for tracks   |       0.0 |       0.0 |       0.0 |       0.0 |      11.2 |      11.2 |       0.0 |     -11.2 |
|                          |           |           |           |           |           |           |           |           | 
|  22) Thprimord$<$0.4     |       0.0 |       0.0 |       0.0 |       0.0 |      11.2 |      11.2 |       0.0 |     -11.2 |
|                          |           |           |           |           |           |           |           |           | 
|  23) Nunh*fracunh$<$200  |       0.0 |       0.0 |       0.0 |       0.0 |      10.0 |      10.0 |       0.0 |     -10.0 |
|                          |           |           |           |           |           |           |           |           | 
|  24) Emumu$>$2GeV        |       0.0 |       0.0 |       0.0 |       0.0 |      10.0 |      10.0 |       0.0 |     -10.0 |
|                          |           |           |           |           |           |           |           |           | 
|  25) P+,P-$>$0.5         |       0.0 |       0.0 |       0.0 |       0.0 |      10.0 |      10.0 |       0.0 |     -10.0 |
|                          |           |           |           |           |           |           |           |           | 
